fold,best_cfg,per_h_metrics,mae_mean,mse_mean,rmse_mean,mape_mean,bds_pval_h1
1,"{'units': 32, 'dropout': 0.2, 'lr': 0.0005, 'batch_size': 32, 'epochs': 50, 'n_layers': 1}","[(0.1466145603027531, 0.034013986113103314, 0.18442881042045278, 35.06496381907667), (0.12988592347936903, 0.028651819097610956, 0.1692684822925135, 32.58825557944865), (0.1355691471604509, 0.028646042695968675, 0.16925141859366696, 35.155748347483076), (0.15416899736529888, 0.034271732186962924, 0.18512626012255237, 38.896312348577965), (0.1897472835141905, 0.06702754929712783, 0.2588967927517215, 48.49647022828856), (0.19625008053918117, 0.07179749162747501, 0.2679505395170441, 54.05166623196212), (0.18976127652823185, 0.0682597064305594, 0.2612655860050447, 49.11140553990994)]",0.16314246698421078,0.047524046778401156,0.213741127100428,41.90926029924957,0.03980099502487562
2,"{'units': 32, 'dropout': 0.2, 'lr': 0.0005, 'batch_size': 32, 'epochs': 50, 'n_layers': 1}","[(0.14756436921111055, 0.03263216451266392, 0.1806437502729168, 35.77195760247413), (0.16045201273707335, 0.04238735819391548, 0.20588190351246385, 42.79876330193795), (0.1497344567303277, 0.036067353185907376, 0.18991406789889836, 40.203455836430734), (0.15189991355242002, 0.034941644358499176, 0.18692684226322118, 43.336210231840724), (0.1615517448532414, 0.0365996844738232, 0.19131044005443928, 45.36946079355657), (0.20763473277788336, 0.07025549579098533, 0.26505753298290796, 61.22715705742148), (0.2035008013614174, 0.07110680157337988, 0.2666585861609933, 61.23713714100604)]",0.16890543303192485,0.04628435744131062,0.2123418747351201,47.13487742352395,0.03980099502487562
3,"{'units': 32, 'dropout': 0.2, 'lr': 0.0005, 'batch_size': 32, 'epochs': 50, 'n_layers': 1}","[(0.18135213723721647, 0.052683044709317776, 0.22952787349103762, 38.36403392881077), (0.18588256788582935, 0.053541692462527435, 0.23139077868948763, 42.97423282142574), (0.17659974519949956, 0.04918904645511559, 0.22178603755673076, 45.94244333852832), (0.15857722317005296, 0.040065406495455605, 0.2001634494493328, 42.767634846293134), (0.1558423382226639, 0.036177613460471686, 0.19020413628644275, 44.17141522714813), (0.16059401063351048, 0.03647727938298179, 0.19099025991652505, 44.79033554814539), (0.2070085133891172, 0.06986678807470267, 0.26432326434633535, 59.43939169781903)]",0.17512236224827,0.048285838720081804,0.21834082853369882,45.49278391545293,0.9104477611940298
4,"{'units': 32, 'dropout': 0.2, 'lr': 0.0005, 'batch_size': 32, 'epochs': 50, 'n_layers': 1}","[(0.16065708137700702, 0.04473177185667634, 0.2114988696345121, 31.441673082650073), (0.18623439882014023, 0.05360729916670232, 0.23153250131828645, 39.16479128499392), (0.19193043646163463, 0.055306163407883364, 0.2351726246991417, 44.36511395858501), (0.18288139372173268, 0.05354087135642505, 0.23138900439827528, 47.055612636621106), (0.16601745548364924, 0.04316931637532029, 0.2077722704677414, 43.81455142879215), (0.1608169464605907, 0.03900201822858927, 0.19748928636406907, 44.819437875551046), (0.16518753026679728, 0.03798338688016281, 0.19489327048454702, 46.722983171380235)]",0.1733893203702217,0.046762975324537055,0.21567826105236756,42.48345191979622,0.5422885572139303
5,"{'units': 32, 'dropout': 0.2, 'lr': 0.0005, 'batch_size': 32, 'epochs': 50, 'n_layers': 1}","[(0.16360821467252373, 0.04006716606918277, 0.20016784474331228, 46.19829972396724), (0.1734970298577802, 0.04864737439699697, 0.22056149799318323, 47.096699706797764), (0.17294223224964728, 0.052089632707880786, 0.2282315331146877, 49.31670223478234), (0.17737216593538152, 0.05558654077983781, 0.2357679808197835, 41.13708378839223), (0.1798716930501633, 0.05026062663530941, 0.22418881915766767, 42.583407162600544), (0.19577467776845342, 0.053118665069979684, 0.23047486862992175, 49.74217838311928), (0.18362812029688397, 0.05161923118681279, 0.22719866017829593, 48.743494490540925)]",0.17809916197583334,0.050198462406571456,0.2237987435195503,46.40255221288576,0.6368159203980099
