fold,best_cfg,per_h_metrics,mae_mean,mse_mean,rmse_mean,mape_mean,bds_pval_h1
1,"{'units': 64, 'dropout': 0.0, 'lr': 0.001, 'batch_size': 32, 'epochs': 50, 'n_layers': 1}","[(0.15311733380102524, 0.03520330266071771, 0.18762543180687874, 33.30205491595868), (0.17485864310840252, 0.05200245412112532, 0.22804046597287358, 37.90703426712235), (0.18404649168557985, 0.05373505405927377, 0.23180822690162178, 36.17657798258998), (0.18599739117921857, 0.05509304213730303, 0.23471907067237427, 36.85076371441429), (0.1904720651641359, 0.05270020174013457, 0.2295652450614739, 40.93096470108033), (0.18326189371215978, 0.05154026531056085, 0.22702481210334885, 38.10570768170856), (0.16819812220200814, 0.04138872696036042, 0.20344219562411436, 37.37945475504206)]",0.17713599155036142,0.048809006712782245,0.2203179211632408,37.236079716845175,0.4228855721393035
2,"{'units': 64, 'dropout': 0.0, 'lr': 0.001, 'batch_size': 32, 'epochs': 50, 'n_layers': 1}","[(0.21954159043993662, 0.07510506610261847, 0.2740530352005218, 43.035261927483496), (0.2008014027572696, 0.06403666873493957, 0.25305467538644605, 43.224667622689985), (0.2100807247975939, 0.07210055890464374, 0.26851547237476603, 45.14946801359175), (0.210661840119775, 0.07212210644543052, 0.2685555928396028, 42.20544185487264), (0.20987195462579664, 0.07338149791461754, 0.27089019530912806, 40.60482372381794), (0.20831654525167784, 0.06829606387059234, 0.2613351562086363, 43.1041362415994), (0.20635163291047018, 0.06684885552029793, 0.2585514562331799, 40.5263206332012)]",0.20937509870035995,0.0702701167847343,0.264993654793183,42.550017145322336,0.10945273631840796
3,"{'units': 64, 'dropout': 0.0, 'lr': 0.001, 'batch_size': 32, 'epochs': 50, 'n_layers': 1}","[(0.21153808069493943, 0.07048946614033272, 0.26549852380066585, 43.98575436442309), (0.2400248230227973, 0.09666806594909415, 0.3109148853771626, 49.226289698698615), (0.23851414160434964, 0.08888652103388814, 0.29813842595996937, 53.055262281421676), (0.24905360616263025, 0.1032216794323457, 0.3212813088748639, 55.80693974422958), (0.24717719723335638, 0.0987140822411823, 0.3141879727825085, 51.5301776746408), (0.23134880432793178, 0.08582474219639553, 0.2929586015060755, 45.06571029721525), (0.21194406458278672, 0.06543088432731595, 0.2557946135619668, 44.43735946216968)]",0.23280010251839878,0.08703363447436493,0.2941106188376018,49.015356217542674,0.736318407960199
4,"{'units': 64, 'dropout': 0.0, 'lr': 0.001, 'batch_size': 32, 'epochs': 50, 'n_layers': 1}","[(0.2064921248809896, 0.06759820139114693, 0.25999654111381354, 40.95020976221686), (0.23605247605353313, 0.08794410356203203, 0.2965537110913165, 49.12904015170399), (0.27141538368951734, 0.130878310590794, 0.36177107483986887, 56.41682064776573), (0.25550255911056763, 0.10369683501859182, 0.3220199295363438, 57.044890875309065), (0.24407043136175746, 0.10082987393572301, 0.3175372008690053, 55.64865722824155), (0.22976198330991612, 0.09389361696703605, 0.30642065362347237, 49.37498733903169), (0.21436449457514958, 0.08087056436187785, 0.2843775032626137, 42.84960489999964)]",0.23680849328306156,0.09510164368960025,0.30695380204806205,50.20203012918121,0.48756218905472637
5,"{'units': 64, 'dropout': 0.0, 'lr': 0.001, 'batch_size': 32, 'epochs': 50, 'n_layers': 1}","[(0.12491001938810521, 0.0426628891941831, 0.20654996779032211, 24.36142357273506), (0.19645754096504958, 0.06171406974430119, 0.24842316668197673, 43.88794423881261), (0.2097874060395846, 0.06602429202071759, 0.2569519255049816, 46.59630876776793), (0.21315120369751567, 0.06891229339918599, 0.26251151098415854, 54.095970243405134), (0.21155629390192912, 0.07597390712941801, 0.2756336465844074, 54.56310586470781), (0.2316482576444786, 0.09393360752111689, 0.3064859010152292, 57.275964197238025), (0.2152593117443187, 0.07387316072546052, 0.2717961749647344, 52.89766341476735)]",0.20039571905442594,0.06901345996205475,0.2611931847894014,47.66834004277627,0.8407960199004975
