m,C_m,C1_pow_m,S_obs,sigma_boot,z_stat,p_value_two_tailed
1,1.4,1.4,0.0,0.0,0.0,1.0
2,1.2118226600985222,1.9599999999999997,-0.7481773399014775,0.015855961276820152,-47.18587078004781,0.036
3,1.1349206349206349,2.7439999999999993,-1.6090793650793644,0.012658260220858131,-127.11694474632007,0.03
