,MAE,MSE,RMSE,MAPE
h1,0.18482929698677414,0.055287566817369974,0.23513308320474594,36.53610248254097
h2,0.19794406677838286,0.06064918122475633,0.2462705447769918,43.572679181098955
h3,0.20524189066458245,0.052040881660349134,0.22812470637865845,49.05258795180101
h4,0.2219957045236344,0.06889299959316933,0.26247475991639524,50.38650788293777
h5,0.24938843186164258,0.08831037056492792,0.2971706085145836,53.04151425264113
h6,0.2643389829783945,0.1133765894479005,0.3367144033864612,55.23572809472556
h7,0.24508404088241745,0.1020668102354672,0.3194789668123196,51.88199679120714
