fold,best_cfg,per_h_metrics,mae_mean,mse_mean,rmse_mean,mape_mean,bds_pval_h1
1,"{'hidden_layer_sizes': (200,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.10059020211502394, 0.01854023805638003, 0.1361625427802376, 21.966669604124185), (0.15339366417953282, 0.046410254966520056, 0.2154303947137452, 32.419040680261055), (0.15876562854172513, 0.04349210067015003, 0.2085475980924979, 34.39914170683501), (0.20173134178654112, 0.054707819193339904, 0.23389702690145486, 43.71861927517337), (0.19954532964415167, 0.055860636049997164, 0.23634854780598327, 45.04777228998791), (0.1925403543536848, 0.05672943225501021, 0.23817941190415726, 48.13641798237233), (0.2098009627003379, 0.06595593316291838, 0.2568188722872959, 48.239487082900474)]",0.17376678333157103,0.04881377347918797,0.21791205635505315,39.13244980309348,0.11442786069651742
2,"{'hidden_layer_sizes': (200,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.12670056832557391, 0.03757128535119688, 0.1938331379078327, 25.126109223195208), (0.18059925606257188, 0.07515668521305294, 0.27414719625240186, 38.496658564734545), (0.22195224362159052, 0.10744895882681284, 0.32779407991422427, 50.495430143749196), (0.24085574140563537, 0.11691831577009791, 0.34193320366717517, 50.0867083318288), (0.26546395316247634, 0.1114982737449153, 0.3339135722682073, 55.95114591499548), (0.25721580813217787, 0.0994976580650416, 0.31543249367343495, 55.15069567777088), (0.2368340759998726, 0.09098609502176232, 0.30163901442247537, 50.938507671216406)]",0.21851737810141406,0.09129675314183998,0.2983846711579646,46.60646507535579,0.7213930348258707
3,"{'hidden_layer_sizes': (200,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.09303272966384749, 0.013634837512160021, 0.11676830696794409, 19.193603470960728), (0.17948796615323329, 0.057941224433218155, 0.24070983451703454, 35.52766134271419), (0.1682081685882389, 0.05445413801176742, 0.23335410433880827, 34.92637378953465), (0.23216624558897206, 0.10424258653898794, 0.32286620532193816, 49.829536995980256), (0.22642978518614937, 0.10394406411345285, 0.32240357335714015, 45.30237092820464), (0.2564256826016764, 0.11043054311851751, 0.3323109133304495, 53.690331367458064), (0.25789509223516666, 0.10455823936034264, 0.3233546649738374, 54.68949075818589)]",0.2019493814310406,0.07845794758406378,0.27025251468673606,41.879909807576915,0.4626865671641791
4,"{'hidden_layer_sizes': (200,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.10980510832008393, 0.0202446736814838, 0.142283778701171, 19.893699790242962), (0.16065293619349744, 0.042733238316695225, 0.20672019329686983, 34.50408044877754), (0.1978904281672883, 0.07597151636246385, 0.27562930969413224, 39.66640823266751), (0.18773466570859904, 0.0640026289288502, 0.2529874086369719, 41.46141068654946), (0.26005584776739893, 0.12062292000756761, 0.3473081053007079, 56.82232141200229), (0.2338108104626547, 0.10973473594101994, 0.33126233703972435, 46.58551913555623), (0.23424938618176724, 0.09830462545798263, 0.3135356845049422, 49.7255575105881)]",0.1977427404001842,0.07594490552800903,0.26710383102493135,41.23699960234058,0.7263681592039801
5,"{'hidden_layer_sizes': (200,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.13903207513130972, 0.038936635629937995, 0.19732368238490278, 29.07979229055902), (0.21418841096143176, 0.08184512349142033, 0.28608586733954605, 45.92401258102717), (0.2759839238273623, 0.09066694908480571, 0.3011095300464695, 64.37650794338991), (0.2852438016910516, 0.1069874421836266, 0.327089348930268, 68.79474324550685), (0.28693505646997164, 0.11519552977059885, 0.33940466963581817, 71.73637048386745), (0.3067391061433958, 0.13693581645318592, 0.3700483974471257, 78.70143096839615), (0.28889731866385376, 0.1264130415616324, 0.35554611734855496, 78.26109512492772)]",0.25671709898405376,0.09956864831074398,0.31094394473324066,62.4105646625249,1.0
