fold,best_cfg,per_h_metrics,mae_mean,mse_mean,rmse_mean,mape_mean,bds_pval_h1
1,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.11662671058901068, 0.02479664059819089, 0.15746949100759453, 29.157543621153753), (0.10094201232984147, 0.016384007381070483, 0.12800002883230333, 27.146203110410315), (0.11133490356217149, 0.018159042054401338, 0.13475548988594616, 30.24724945859592), (0.15661835536291818, 0.03441436718136364, 0.1855110971919568, 42.447517973978165), (0.17583261180832432, 0.05693402263883641, 0.23860851334107175, 46.963652062329444), (0.20849563056074208, 0.07095908765647681, 0.2663814701822873, 55.799863828939614), (0.20597879094084062, 0.06862920137543453, 0.26197175682778195, 53.239552855464844)]",0.15368985930769272,0.04146805269796773,0.19609969246699172,40.714511844410296,0.11940298507462686
2,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.08820617109565063, 0.012551975910583595, 0.11203560108547458, 24.137986379419544), (0.11484298622935106, 0.023842703496701794, 0.15441082700608075, 32.79528010115062), (0.1188479119270766, 0.021958149254431167, 0.14818282374968822, 34.59090226039249), (0.14549114503038846, 0.032690397366369264, 0.18080485990804912, 40.66318811369686), (0.18017670742820907, 0.05183806568673276, 0.2276797436899751, 51.661721474889376), (0.20630991458853976, 0.08072429695134496, 0.28412021566820084, 57.367656186225844), (0.21260072694280266, 0.07405360363609163, 0.27212791778149414, 59.676120679556156)]",0.15235365189171687,0.042522741757465024,0.19705171269842325,42.98469359933298,0.2835820895522388
3,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.10483368560934558, 0.02309367831253153, 0.15196604328774088, 19.832986126178827), (0.11722455078529628, 0.027599689389906208, 0.1661315424292034, 28.423022012921457), (0.17231922396006316, 0.05130811605580306, 0.22651294898041271, 44.27219505803103), (0.14933350845272875, 0.03354984753792448, 0.18316617465548732, 41.17029653192251), (0.15808794445080465, 0.04280960038633155, 0.20690480996422378, 44.593804986629735), (0.18684974612429497, 0.05485629035070993, 0.23421419758569276, 51.0822741403047), (0.2061858729305523, 0.07773197213786846, 0.27880454109979713, 55.90941549603479)]",0.15640493318758367,0.04442131345301075,0.20681432257179402,40.754856336003286,0.6616915422885572
4,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.12680546240990423, 0.024585789200138906, 0.15679856249385357, 22.7888115132812), (0.13985436320412192, 0.034259546432340665, 0.18509334518653195, 25.085802487314506), (0.14775363610737743, 0.03991205396438656, 0.19978001392628483, 34.078412979964), (0.1896931742581213, 0.06071100571104663, 0.24639603428433388, 47.1205442657604), (0.1680953922761599, 0.04741372234759147, 0.21774692270521637, 45.000795667161555), (0.18466453729964372, 0.0592734964305545, 0.2434614885984116, 52.37705160275093), (0.174770793655322, 0.0485778802671959, 0.22040390256798065, 49.5089114174468)]",0.16166247988723578,0.044961927764750664,0.20995432425180185,39.42290427623992,0.7761194029850746
5,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.14054840870636695, 0.0329274196935261, 0.1814591405620728, 31.408211941962676), (0.15445388318991746, 0.04169451457418057, 0.2041923470019887, 34.833927953536815), (0.16240892080441327, 0.04484471958622928, 0.2117657186284628, 49.30935554990913), (0.19694615073978833, 0.055263429850747725, 0.23508175142011284, 43.319764525623256), (0.21864288570452334, 0.07056195967960696, 0.2656350121493907, 50.503268579093906), (0.2381578379397392, 0.08072554362331026, 0.2841224095760668, 58.48849097670479), (0.23026612908621033, 0.07884007169335283, 0.280784742629212, 56.880654284861144)]",0.19163203088156552,0.057836808385850536,0.23757730313818667,46.39195340167024,0.7213930348258707
