fold,best_cfg,per_h_metrics,mae_mean,mse_mean,rmse_mean,mape_mean,bds_pval_h1
1,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.08036175296979932, 0.013870692196396103, 0.11777390286645044, 15.46767045960025), (0.15706700163124598, 0.15269735569881102, 0.3907650901741493, 24.2798717015234), (0.19799469141696938, 0.20496511427866648, 0.4527307304332968, 35.144705874786915), (0.2145723768707363, 0.21664278179378654, 0.46544901094941277, 37.9576952087408), (0.2373010453557473, 0.2561634601407615, 0.5061259330846045, 36.48038318071709), (0.2623300535058883, 0.2778113819967535, 0.5270781554919095, 50.383618698869334), (0.3131955404496289, 0.3199288173370316, 0.565622504270323, 52.922385357369194)]",0.20897463745714506,0.20601137192031524,0.4322207610385923,36.09090435451528,0.31343283582089554
2,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.08249545840469598, 0.013840944856902446, 0.11764754505259532, 18.328760747737842), (0.11995404846074652, 0.026096718324015302, 0.16154478736256178, 25.158760672914593), (0.1857294641369646, 0.15699520641804177, 0.39622620612226267, 31.185405503177822), (0.21427618105049118, 0.21162535943482738, 0.4600275637772452, 40.26417965857901), (0.2223206803109179, 0.2219701725759216, 0.4711371059213248, 41.38708946971804), (0.2553164962440715, 0.2565103617552196, 0.5064685200041752, 41.4611264613455), (0.2670441054632897, 0.268579508288517, 0.5182465709375383, 53.73094705588022)]",0.1924480620101682,0.16508832452192074,0.3758997570253862,35.93089565276472,0.8208955223880597
3,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.06763626527248186, 0.008440803087624411, 0.09187384332672935, 15.054706400421198), (0.10087378826033647, 0.018911707363414916, 0.13751984352599778, 25.579401691151094), (0.1331529964057758, 0.031791755484070476, 0.17830242702798657, 28.517216542251884), (0.20304074864616978, 0.1643460328638576, 0.40539614312898636, 36.05206437249641), (0.22643011346032502, 0.21612896676871496, 0.46489672699290424, 43.93576548042611), (0.23579284521095, 0.22703360260598623, 0.4764804325530968, 44.15695291329302), (0.25300800090192943, 0.2602537699194201, 0.5101507325481559, 41.67119048930613)]",0.17427639402256692,0.1324152340132984,0.3235171641576939,33.56675684133512,0.20398009950248755
4,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.09503206097896989, 0.017810922053515296, 0.13345756649030918, 17.044471393459432), (0.11581861800843808, 0.023634954481622478, 0.1537366400101891, 23.10595679880536), (0.14271245667461024, 0.03429075168957762, 0.1851776220000074, 32.79057398428453), (0.15609492122375143, 0.04232914772158137, 0.20574048634525333, 35.36441329878461), (0.21798876421152652, 0.20579506127815547, 0.4536464055607136, 39.93606552561071), (0.2393968849169574, 0.2567959536799758, 0.506750385969242, 46.408802916253116), (0.25266167039065085, 0.2605187930351443, 0.5104104162682658, 47.935531228938416)]",0.17424362520070064,0.12016794056279603,0.3069885032348544,34.65511644944802,0.4577114427860697
5,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500, 'scaler': 'standard'}","[(0.08798385884373884, 0.01660756833020555, 0.12887035473764147, 17.286216369662025), (0.11189330502696362, 0.027010406734984255, 0.16434843088689424, 23.357030659406284), (0.14113290366478493, 0.036406639791836594, 0.1908052404726783, 32.489037414228456), (0.1818809479903777, 0.05162109558138367, 0.227202763146454, 42.57691368860284), (0.20745689761881259, 0.07511751744266554, 0.2740757512854166, 49.52431306895061), (0.21194290860811454, 0.07822348096810533, 0.2796846098163167, 45.94778597816415), (0.22581604068951971, 0.07830178400593957, 0.27982455933305705, 49.2818607812606)]",0.1668724089203303,0.05189835612216007,0.22068738709692265,37.209022565753564,0.8905472636815921
