fold,best_cfg,per_h_metrics,mae_mean,mse_mean,rmse_mean,mape_mean,bds_pval_h1
1,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 1e-05, 'learning_rate_init': 0.005, 'max_iter': 500, 'scaler': 'standard'}","[(0.08211255003673841, 0.016037224254459862, 0.1266381627095871, 16.286861402664464), (0.12732692190148032, 0.0308350341949983, 0.17559907230677016, 24.35578858556047), (0.14752040102990419, 0.03763910326915432, 0.1940079979515131, 31.499247004409803), (0.1848048464290605, 0.053157920114183195, 0.23056001412687152, 41.94109044188008), (0.18140484257055034, 0.05219140407175953, 0.2284543807235036, 40.75412196331285), (0.2090774839621742, 0.07269103682364998, 0.2696127534514085, 51.723485628659716), (0.23038802500122557, 0.0832086407224185, 0.28845907980581664, 54.29498116339293)]",0.16609072441873335,0.049394337635803386,0.21619020872506725,37.26508231284004,0.9054726368159204
2,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 1e-05, 'learning_rate_init': 0.005, 'max_iter': 500, 'scaler': 'standard'}","[(0.07783971726410002, 0.01654466110296342, 0.1286260514163574, 15.287139015633825), (0.11281041241368359, 0.02676168729796557, 0.16358999754864467, 22.161339986092703), (0.1320758509544233, 0.034780482843720394, 0.18649526225542673, 25.38648289396759), (0.1563429805324071, 0.046433924812771595, 0.21548532389184094, 32.60662940678782), (0.18037427390913854, 0.05908524383475248, 0.24307456435166655, 38.659106729031194), (0.18708731363620856, 0.06021108530185991, 0.2453794720465832, 40.155319018460624), (0.20942291443139244, 0.07750495763579367, 0.27839712217584733, 48.7936552219406)]",0.1508504947344791,0.045903148975689576,0.20872111338376667,31.864238895987764,0.6517412935323383
3,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 1e-05, 'learning_rate_init': 0.005, 'max_iter': 500, 'scaler': 'standard'}","[(0.07920582299523336, 0.013073343709643623, 0.11433872357886292, 15.77473643231697), (0.10148553163945324, 0.020308048255143134, 0.1425063095274842, 19.74083488167438), (0.15206654490919536, 0.03814638197903678, 0.19531098786048057, 29.582448780367237), (0.15631240963195495, 0.04551591764216965, 0.21334459834307887, 29.59267821333412), (0.17393471026799562, 0.053437001182420736, 0.23116444619019755, 37.05018959246443), (0.19512815425097843, 0.06267027205730329, 0.2503403124894257, 45.39798366371134), (0.19905735669836838, 0.06549464980139422, 0.25591922515003485, 46.248021641708306)]",0.15102721862759708,0.04266365923244448,0.20041780044850924,31.912413315082397,0.024875621890547265
4,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 1e-05, 'learning_rate_init': 0.005, 'max_iter': 500, 'scaler': 'standard'}","[(0.08278153237626738, 0.015558876642572226, 0.12473522614952132, 21.23360539195442), (0.1012523067917205, 0.018815110843062508, 0.13716818451471358, 21.853924301732423), (0.13677466455776524, 0.029588610940004683, 0.17201340337312288, 28.072726469175695), (0.16377377850617106, 0.04158728462891404, 0.2039296070434944, 33.49830053695818), (0.1658684428737775, 0.047058355478443774, 0.21692937901179676, 34.46156978735543), (0.18684107980410042, 0.05429062571802824, 0.2330034886391795, 41.57421461397376), (0.21517876991959448, 0.07136949497225449, 0.26715069712103406, 51.93733180011405)]",0.15035293926134236,0.03975262274618285,0.1935614265504089,33.233096128751995,0.19900497512437812
5,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 1e-05, 'learning_rate_init': 0.005, 'max_iter': 500, 'scaler': 'standard'}","[(0.08696305594015039, 0.04721198265763813, 0.217283185400155, 13.633413155464183), (0.1179964727666514, 0.0653677453689803, 0.2556711664794845, 20.348155195636945), (0.13737494014518115, 0.06865762919133833, 0.2620260086162027, 26.155723289599443), (0.17531136195107652, 0.08650846238407721, 0.2941232095297432, 33.71978178313476), (0.20703530464947603, 0.11765423468482092, 0.3430076306510118, 39.16896651034763), (0.21681450336889974, 0.07447817843000042, 0.27290690432819836, 50.64741612979372), (0.22042151702233895, 0.07723680119220282, 0.2779150970929842, 54.562967968417766)]",0.16598816512053918,0.07673071912986544,0.27470474315682575,34.03377486177063,0.24875621890547264
